    °„C	        No	    CH0	            CH1	            CH2	            CH3
30.688	146	0.1159679959	1397.8301821846	0.4702056927	-0.0957586822
30.735	147	0.1159868309	1395.1296445805	0.4700762314	-0.0962619839
30.788	148	0.1160082886	1392.4528892310	0.4699470085	-0.0967668353
30.833	149	0.1160261700	1389.8068004731	0.4698202890	-0.0972768126
30.878	150	0.1160444090	1387.1688477498	0.4696932119	-0.0977999030
30.931	151	0.1160657475	1384.5621874668	0.4695674461	-0.0982919990
30.983	152	0.1160863707	1381.9774318920	0.4694407266	-0.0987840950
31.023	153	0.1161023448	1379.4120776303	0.4693180602	-0.0992755949
31.067	154	0.1161202262	1376.8717573209	0.4691921752	-0.0997660220
31.122	155	0.1161421607	1374.3458315340	0.4690714162	-0.1002566874
31.165	156	0.1161594460	1371.8518240363	0.4689483922	-0.1007472337
31.213	157	0.1161785195	1369.3659525732	0.4688285869	-0.1012375415
31.260	158	0.1161977122	1366.9138769456	0.4687069934	-0.1017247499
31.297	159	0.1162123749	1364.4755699918	0.4685859959	-0.1022131504
31.344	160	0.1162312100	1362.0629228391	0.4684675019	-0.1027033390
31.392	161	0.1162506411	1359.6665477554	0.4683493655	-0.1032294096
31.438	162	0.1162687609	1357.2927032288	0.4682337325	-0.1037314000
31.482	163	0.1162867615	1354.9407634104	0.4681175034	-0.1042388740
31.526	164	0.1163044045	1352.5994630217	0.4680005591	-0.1046624246
31.571	165	0.1163224051	1350.2856999806	0.4678863566	-0.1050726238
31.613	166	0.1163389752	1347.9844539156	0.4677741806	-0.1055079761
31.661	167	0.1163584063	1345.7076159541	0.4676586668	-0.1059601370
31.699	168	0.1163735459	1343.4520568521	0.4675473253	-0.1064242188
31.735	169	0.1163880894	1341.2140215167	0.4674345534	-0.1068891351
31.779	170	0.1164057324	1338.9972650407	0.4673236887	-0.1073557202
31.827	171	0.1164250443	1336.7955289361	0.4672128241	-0.1078217094
31.867	172	0.1164410184	1334.6163233886	0.4671033899	-0.1082824533
31.906	173	0.1164565156	1332.4540157589	0.4669964592	-0.1087408131
31.951	174	0.1164745162	1330.3073543493	0.4668886940	-0.1091970270
31.990	175	0.1164902518	1328.1719582183	0.4667798559	-0.1096550292
32.032	176	0.1165072987	1326.0709837717	0.4666742365	-0.1101042098
