    °„C	        No	    CH0	            CH1	            CH2	            CH3
33.405	108	0.1170574496	1606.7353848657	0.4791460323	-0.3258810238
33.435	109	0.1170694898	1604.9335661491	0.4790770101	-0.3257653907
33.463	110	0.1170806955	1603.1423868622	0.4789494562	-0.3256476120
33.488	111	0.1170910667	1601.3493300289	0.4789424228	-0.3255368665
33.519	112	0.1171033452	1599.5625316836	0.4788741159	-0.3254163459
33.554	113	0.1171175311	1597.7732299431	0.4788068818	-0.3252940372
33.581	114	0.1171282600	1595.9876832955	0.4787395286	-0.3251745895
33.606	115	0.1171382735	1594.2033883454	0.4786712217	-0.3250615791
33.638	116	0.1171509097	1592.4266035811	0.4786001729	-0.3249567941
33.670	117	0.1171639035	1590.6441861775	0.4785324620	-0.3248516515
33.699	118	0.1171753476	1588.8692789596	0.4784660625	-0.3247349456
33.729	119	0.1171875070	1587.0975009857	0.4783982324	-0.3246177628
33.764	120	0.1172015737	1585.3276005583	0.4783315944	-0.3244972422
33.785	121	0.1172099183	1583.5520674915	0.4782622146	-0.3243780329
33.817	122	0.1172227929	1581.7877997033	0.4781930732	-0.3242538169
33.846	123	0.1172343562	1580.0235319152	0.4781259583	-0.3241285279
33.876	124	0.1172463964	1578.2598899758	0.4780576514	-0.3240021660
33.905	125	0.1172580789	1576.4993772804	0.4779891061	-0.3238784268
33.933	126	0.1172694038	1574.7382387363	0.4779227065	-0.3237536146
33.973	127	0.1172851394	1572.9871137731	0.4778539227	-0.3236208155
33.994	128	0.1172937225	1571.2316078682	0.4777860926	-0.3234913542
34.024	129	0.1173058818	1569.4742244169	0.4777163552	-0.3233611776
34.054	130	0.1173178027	1567.7249770001	0.4776497172	-0.3232417299
34.087	131	0.1173310350	1565.9788588273	0.4775814103	-0.3231229975
34.113	132	0.1173415254	1564.2289855617	0.4775105999	-0.3229959204
34.145	133	0.1173540424	1562.4859966329	0.4774437235	-0.3228743269
34.180	134	0.1173683475	1560.7517695875	0.4773741053	-0.3227462961
34.206	135	0.1173787187	1559.0100323564	0.4773078249	-0.3226183845
34.239	136	0.1173920701	1557.2682951253	0.4772403525	-0.3224928571
34.264	137	0.1174019645	1555.5340680798	0.4771720455	-0.3223798467
34.295	138	0.1174143623	1553.8029702784	0.4771042154	-0.3222612335
34.319	139	0.1174240182	1552.0724983259	0.4770348356	-0.3221382095
34.355	140	0.1174385618	1550.3464073149	0.4769676016	-0.3220312787
34.381	141	0.1174489330	1548.6228196992	0.4768996523	-0.3219101621
34.424	142	0.1174658607	1546.8979803859	0.4768160866	-0.3217940522
34.444	143	0.1174739669	1545.1750186190	0.4767636345	-0.3216732932
34.476	144	0.1174869607	1543.4576894914	0.4766942547	-0.3215614749
34.504	145	0.1174981664	1541.7378569685	0.4766260670	-0.3214520408
34.535	146	0.1175104450	1540.0305414218	0.4765551374	-0.3213426066
34.560	147	0.1175206970	1538.3169673870	0.4764908836	-0.3212213708
34.589	148	0.1175320219	1536.6033933522	0.4763961122	-0.3211018038
34.612	149	0.1175414394	1534.8916968639	0.4763529585	-0.3209848595
34.651	150	0.1175570558	1533.1912656540	0.4762851284	-0.3208675576
34.681	151	0.1175688575	1531.4895827466	0.4762183712	-0.3207501364
34.710	152	0.1175806592	1529.7941583272	0.4761481569	-0.3206323576
34.751	153	0.1175969909	1528.0918495710	0.4760799692	-0.3205197048
34.773	154	0.1176059316	1526.3964251516	0.4760120199	-0.3204146815
34.804	155	0.1176183294	1524.7003748834	0.4759444282	-0.3202980948
34.833	156	0.1176301311	1523.0118348009	0.4758763597	-0.3201854420
34.865	157	0.1176426481	1521.3145328352	0.4758088872	-0.3200688553
34.891	158	0.1176532577	1519.6284961479	0.4757387922	-0.3199604940
34.925	159	0.1176667284	1517.9393302166	0.4756696508	-0.3198465300
34.952	160	0.1176776956	1516.2583003198	0.4756040857	-0.3197370958
34.978	161	0.1176880668	1514.5841547599	0.4755342290	-0.3196280193
35.005	162	0.1176986764	1512.9031248631	0.4754658029	-0.3195151281
35.036	163	0.1177114318	1511.2283534544	0.4753983304	-0.3194056940
35.069	164	0.1177244257	1509.5529561968	0.4753303811	-0.3192912530
35.096	165	0.1177355121	1507.8831915786	0.4752614781	-0.3191787195
35.120	166	0.1177448104	1506.2153045067	0.4751935288	-0.3190672588
35.153	167	0.1177581619	1504.5486691325	0.4751246259	-0.3189573478
35.184	168	0.1177704404	1502.8864146999	0.4750581071	-0.3188513707
35.216	169	0.1177831958	1501.2254119650	0.4749892041	-0.3187414598
35.243	170	0.1177940439	1499.5631575324	0.4749208972	-0.3186302375
35.270	171	0.1178051304	1497.9052840415	0.4748529479	-0.3185132932
35.301	172	0.1178172897	1496.2449071553	0.4747845217	-0.3183977794
35.324	173	0.1178267072	1494.5957955477	0.4747166917	-0.3183064650
